,TIPO,SERVICIO,ESTRATO,TOTAL_PERSONAS,SEXO,EDAD,PARENTESCO,PADRE,MADRE,D_01,D_02,D_03,D_04,D_05,D_06,D_07,D_08,D_09,D_10,D_11_A,D_11_B,D_11_C,D_11_D,D_11_E,D_11_F,D_11_G,D_11_H,D_11_I,D_11_J,D_11_K,D_11_L,D_11_M,D_11_N,D_12_A,D_12_A_A,D_12_B,D_12_B_A,D_12_C,D_12_C_A,D2_01,D2_03,D2_04,D2_05,D2_05_A,D2_06,D2_07,G_01,G_02,G_06_A,G_06_B,G_06_C,G_06_D,G_06_E,G_06_F,G_06_G,G_06_H,G_06_I,G_06_J,G_06_K,G_06_L,G_06_M,G_06_N,COD_REGION
8917,2,1,3.0,2,2.0,40.0,1.0,2.0,1.0,1.0,1.0,12.0,1.0,48.0,1.0,1.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,2.0,1.0,1.0,2.0,9.0,9.0,6.0,0.0,7.0,705.0,1.0,2.0,2.0,2.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0
8918,2,1,3.0,2,2.0,57.0,2.0,3.0,2.0,2.0,4.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,2.0,4.0,4.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,9.0,1.0,1.0,1.0,1.0,9.0,3.0,0.0,4.0,406.0,1.0,2.0,2.0,1.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,2
8919,1,1,2.0,5,1.0,24.0,3.0,2.0,1.0,2.0,8.0,0.0,0.0,0.0,1.0,3.0,3.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,6.0,0.0,4.0,407.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
8920,2,1,1.0,2,1.0,39.0,3.0,2.0,1.0,1.0,1.0,6.0,4.0,48.0,1.0,3.0,4.0,1.0,2.0,4.0,4.0,5.0,5.0,5.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,9.0,5.0,5.0,3.0,5.0,511.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0
8921,1,1,2.0,3,1.0,28.0,2.0,2.0,2.0,1.0,4.0,0.0,0.0,0.0,1.0,3.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,9.0,1.0,1.0,2.0,9.0,9.0,2.0,0.0,5.0,511.0,1.0,1.0,2.0,2.0,1.0,9.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,9.0,1.0,9.0,9.0,9.0,4
8922,2,1,3.0,1,1.0,34.0,1.0,2.0,2.0,1.0,1.0,6.0,4.0,70.0,1.0,3.0,4.0,2.0,2.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,9.0,1.0,1.0,2.0,9.0,9.0,5.0,0.0,5.0,511.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,9.0,1.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,2
8923,2,1,2.0,2,1.0,43.0,3.0,1.0,2.0,1.0,1.0,8.0,4.0,72.0,1.0,1.0,4.0,2.0,2.0,3.0,4.0,5.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,2.0,1.0,1.0,2.0,9.0,9.0,5.0,2.0,5.0,511.0,1.0,1.0,2.0,1.0,9.0,9.0,9.0,9.0,1.0,9.0,9.0,1.0,1.0,9.0,9.0,9.0,9.0,9.0,5
8924,1,1,3.0,4,2.0,39.0,1.0,2.0,2.0,1.0,1.0,12.0,1.0,40.0,1.0,3.0,3.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,9.0,2.0,9.0,2.0,9.0,9.0,5.0,3.0,5.0,511.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,9.0,1.0,9.0,2.0,1.0,1.0,9.0,9.0,9.0,9.0,9.0,4
8925,1,1,1.0,1,2.0,55.0,1.0,3.0,3.0,1.0,1.0,12.0,3.0,24.0,1.0,3.0,3.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,9.0,1.0,1.0,2.0,9.0,9.0,5.0,3.0,1.0,100.0,1.0,2.0,2.0,2.0,9.0,9.0,9.0,9.0,2.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0
8926,2,1,1.0,2,2.0,23.0,2.0,2.0,2.0,1.0,1.0,12.0,4.0,54.0,1.0,3.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,9.0,2.0,9.0,2.0,9.0,9.0,2.0,0.0,5.0,511.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,9.0,1.0,9.0,9.0,1.0,1.0,9.0,9.0,9.0,9.0,9.0,4
